index,label,count,number_of_blocks,topic,sentiment,stemmed_word,radius,theta,x,y,zone,font_size
46,cells,8830,228,Topic 4,normal,cell,118,240.0,-59.00000000000005,-102.19099764656373,3,34
179,reuse,1228,98,Topic 4,normal,reus,248,240.82191780821918,-120.90637301896406,-216.5309422770776,7,71
178,rights,1213,97,Topic 4,normal,right,249,241.64383561643837,-118.26281694469549,-219.12303878941037,7,71
182,permission,980,79,Topic 4,normal,permiss,267,242.46575342465755,-123.42841579472277,-236.75815967861598,7,77
130,expression,1954,68,Topic 4,normal,express,278,243.28767123287673,-124.96411963395254,-248.33036222764062,8,80
283,activities,1279,64,Topic 4,normal,activ,282,244.10958904109592,-123.13564741160987,-253.6959052419327,8,81
421,treatment,905,64,Topic 4,normal,treatment,282,244.9315068493151,-119.48379139610728,-255.43614386693892,8,81
211,responses,1010,57,Topic 4,normal,respons,289,245.75342465753428,-118.68199843590804,-263.50632487145185,8,83
234,drug,1037,43,Topic 4,normal,drug,303,246.57534246575347,-120.45547272761415,-278.0278386959964,8,87
471,mice,1287,37,Topic 4,normal,mice,309,247.39726027397265,-118.76089548369158,-285.26627859582646,8,89
45,factor,444,33,Topic 4,normal,factor,313,248.21917808219183,-116.14085081144728,-290.65495483957113,9,90
199,functions,450,33,Topic 4,normal,function,313,249.04109589041101,-111.95954875476811,-292.29105262157566,9,90
978,types,461,29,Topic 4,normal,type,317,249.8630136986302,-109.13227097021458,-297.6224914768433,9,91
349,protease,499,25,Topic 4,normal,proteas,321,250.68493150684938,-106.17479332896036,-302.9321925143522,9,92
473,lungs,498,24,Topic 4,normal,lung,322,251.50684931506856,-102.13559492569183,-305.37242876391934,9,93
274,inhibitor,367,23,Topic 4,normal,inhibitor,323,252.32876712328775,-98.0481711292289,-307.7589253591412,9,93
747,complexes,453,22,Topic 4,normal,complex,324,253.15068493150693,-93.91323531401565,-310.09079998099645,9,93
897,concentration,381,21,Topic 4,normal,concentr,325,253.9726027397261,-89.73151625667693,-312.3671797584979,9,93
127,tissue,304,20,Topic 4,normal,tissu,326,254.7945205479453,-85.50375801117725,-314.5872015291881,9,94
355,blood,238,20,Topic 4,normal,blood,326,255.61643835616448,-80.98230779258147,-315.7813576267409,9,94
292,membrane,580,19,Topic 4,normal,membran,327,256.43835616438366,-76.6786843895234,-317.8826502977032,9,94
162,entry,225,16,Topic 4,normal,entri,330,257.2602739726028,-72.77243764173319,-321.87602010662437,9,95
537,phase,432,16,Topic 4,normal,phase,330,258.082191780822,-68.14774158180012,-322.8867995401797,9,95
424,cleavage,265,15,Topic 4,normal,cleavag,331,258.9041095890411,-63.70147363234454,-324.81244165990273,9,95
177,animals,178,14,Topic 4,normal,anim,332,259.7260273972603,-59.21394411184698,-326.67676504875436,9,95
909,surface,333,14,Topic 4,normal,surfac,332,260.54794520547944,-54.521777938561115,-327.4925582825024,9,95
431,serum,150,13,Topic 4,normal,serum,333,261.3698630136986,-49.96844764876961,-329.2296375473693,9,96
509,injury,227,13,Topic 4,negative,injuri,333,262.19178082191775,-45.240612607681655,-329.91254442788573,9,96
1020,findings,99,13,Topic 4,normal,find,333,263.0136986301369,-40.5034679339267,-330.52756176350164,9,96
472,titers,148,12,Topic 4,normal,titer,334,263.83561643835606,-35.86536978583118,-332.0687809025799,9,96
1546,images,239,12,Topic 4,normal,imag,334,264.6575342465752,-31.098259210719906,-332.5490915249399,9,96
158,particles,385,11,Topic 4,normal,particl,335,265.47945205479436,-26.403565836927992,-333.957859184501,9,96
413,pathway,254,11,Topic 4,normal,pathway,335,266.3013698630135,-21.610330565522133,-334.3022488899063,9,96
591,therapy,101,10,Topic 4,normal,therapi,336,267.1232876712327,-16.862835320906616,-335.5765855731594,9,97
789,cytokine,182,10,Topic 4,normal,cytokin,336,267.94520547945183,-12.047361585356533,-335.7839500018303,9,97
1019,subject,145,10,Topic 4,normal,subject,336,268.767123287671,-7.229408738572285,-335.9222166652433,9,97
122,protection,91,9,Topic 4,positive,protect,337,269.58904109589014,-2.4171407454237657,-336.9913313879406,9,97
2294,diffusion,230,9,Topic 4,normal,diffus,337,270.4109589041093,2.4171407454203493,-336.99133138794065,9,97
547,fluorescent,196,8,Topic 4,normal,fluoresc,338,271.23287671232845,7.272440933441314,-337.92175366920316,9,97
685,kidney,129,8,Topic 4,normal,kidney,338,272.0547945205476,12.11907207098023,-337.78266398993657,9,97
962,experiments,160,8,Topic 4,normal,experi,338,272.87671232876676,16.963209340670495,-337.5740652491903,9,97
966,fusion,233,8,Topic 4,normal,fusion,338,273.6986301369859,21.803855913866673,-337.2960003725027,9,97
1072,mechanism,77,8,Topic 4,normal,mechan,338,274.52054794520507,26.64001568024035,-336.9485265801834,9,97
1343,efficacy,112,8,Topic 4,normal,efficaci,338,275.3424657534242,31.470693452761047,-336.53171537553834,9,97
1406,stress,151,8,Topic 4,negative,stress,338,276.1643835616434,36.29489517248442,-336.045652530156,9,97
1664,brain,231,8,Topic 4,normal,brain,338,276.98630136986253,41.11162811311139,-335.4904380662573,9,97
160,lines,102,7,Topic 4,normal,line,339,277.8082191780817,46.05575878078963,-335.856914597758,9,97
316,mouse,135,7,Topic 4,normal,mous,339,278.63013698630084,50.86878003883413,-335.1617030887639,9,97
380,phage,311,7,Topic 4,normal,phage,339,279.45205479452,55.67133349750329,-334.3975218607485,9,97
418,phosphorylation,99,7,Topic 4,normal,phosphoryl,339,280.27397260273915,60.462430885286146,-333.56452816725283,9,97
466,hours,49,7,Topic 4,normal,hour,339,281.0958904109583,65.24108628810781,-332.66289342207625,9,97
520,minutes,60,7,Topic 4,normal,minut,339,281.91780821917746,70.00631635220948,-331.6928031640035,9,97
549,neuron,192,7,Topic 4,normal,neuron,339,282.7397260273966,74.75714048650467,-330.6544570186239,9,97
698,damage,129,7,Topic 4,negative,damag,339,283.56164383561577,79.49258106436496,-329.54806865725277,9,97
915,anxiety,111,7,Topic 4,negative,anxieti,339,284.3835616438349,84.21166362479764,-328.3738657529614,9,97
973,formation,113,7,Topic 4,normal,format,339,285.2054794520541,88.91341707296905,-327.13208993372734,9,97
1007,delivery,151,7,Topic 4,normal,deliveri,339,286.02739726027323,93.59687388003759,-325.8229967327112,9,97
1030,liver,166,7,Topic 4,normal,liver,339,286.8493150684924,98.26107028225324,-324.44685553567336,9,97
303,water,159,6,Topic 4,normal,water,340,287.67123287671154,103.20860118865787,-323.95676353593944,9,98
