index,label,count,number_of_blocks,topic,sentiment,stemmed_word
9,cases,8226,336,Topic 2,normal,case
16,COVID19,4726,305,Topic 6,normal,covid19
78,infections,4719,301,Topic 2,negative,infect
31,data,5343,293,Topic 2,normal,data
84,license,5304,276,Topic 2,normal,licens
11,patient,7959,260,Topic 2,positive,patient
26,numbers,5194,257,Topic 2,normal,number
62,model,6421,250,Topic 2,normal,model
83,authorfunder,3293,241,Topic 6,normal,authorfund
170,studies,3819,239,Topic 1,normal,studi
70,diseases,2949,233,Topic 5,normal,diseas
46,cells,8830,228,Topic 4,normal,cell
155,holder,3065,225,Topic 2,normal,holder
100,Fig,5788,211,Topic 6,normal,fig
82,time,3548,208,Topic 2,normal,time
10,virus,3094,203,Topic 1,negative,viru
32,China,2326,195,Topic 6,normal,china
53,protein,5237,180,Topic 1,normal,protein
56,coronavirus,1349,171,Topic 1,normal,coronaviru
3,sequences,4324,166,Topic 1,normal,sequenc
86,rate,2816,163,Topic 2,normal,rate
19,SARSCoV2,2861,161,Topic 6,normal,sarscov2
29,transmission,3123,161,Topic 2,normal,transmiss
4,outbreaks,2184,159,Topic 2,normal,outbreak
107,Wuhan,2439,156,Topic 6,normal,wuhan
85,FIGURE,3410,152,Topic 6,normal,figur
167,perpetuity,1813,142,Topic 2,normal,perpetu
30,population,1907,127,Topic 2,normal,popul
21,RNA,3140,123,Topic 6,normal,rna
191,days,1595,116,Topic 2,normal,day
132,gene,4113,114,Topic 3,normal,gene
154,International,1280,110,Topic 6,normal,intern
67,health,850,104,Topic 2,normal,health
179,reuse,1228,98,Topic 4,normal,reus
178,rights,1213,97,Topic 4,normal,right
12,samples,1887,96,Topic 3,normal,sampl
258,group,1810,93,Topic 1,normal,group
13,analysis,1033,91,Topic 1,normal,analysi
99,bioRxiv,1082,90,Topic 6,normal,biorxiv
181,respiratory,708,89,Topic 1,normal,respiratori
282,viruses,1499,88,Topic 1,normal,virus
37,individuals,1722,86,Topic 2,normal,individu
43,estimates,1392,84,Topic 2,normal,estim
52,host,1782,84,Topic 1,normal,host
151,period,1438,83,Topic 2,normal,period
2,genome,1737,82,Topic 1,normal,genom
40,al,1833,82,Topic 1,normal,al
125,method,1174,79,Topic 1,normal,method
182,permission,980,79,Topic 4,normal,permiss
68,symptoms,1016,77,Topic 2,negative,symptom
108,January,1026,77,Topic 6,normal,januari
448,provinces,1094,76,Topic 2,normal,provinc
23,Controls,829,74,Topic 6,normal,control
87,parameters,1016,74,Topic 2,normal,paramet
143,level,1126,74,Topic 5,normal,level
54,regions,1246,69,Topic 1,normal,region
130,expression,1954,68,Topic 4,normal,express
458,measures,818,68,Topic 2,normal,measur
152,hospitalization,781,67,Topic 2,normal,hospit
8,countries,1220,66,Topic 2,normal,countri
47,SARSCoV,1017,65,Topic 6,normal,sarscov
283,activities,1279,64,Topic 4,normal,activ
421,treatment,905,64,Topic 4,normal,treatment
91,structures,1374,63,Topic 1,normal,structur
106,February,543,62,Topic 6,normal,februari
356,tests,761,62,Topic 5,normal,test
114,cities,1200,61,Topic 2,normal,citi
247,distribution,1104,59,Topic 2,normal,distribut
66,detection,841,57,Topic 3,normal,detect
72,system,894,57,Topic 6,normal,system
147,epidemics,590,57,Topic 2,normal,epidem
211,responses,1010,57,Topic 4,normal,respons
55,sites,1184,56,Topic 3,normal,site
343,Hubei,700,55,Topic 6,normal,hubei
111,spreading,494,54,Topic 2,normal,spread
540,death,866,54,Topic 2,negative,death
240,pneumonia,562,52,Topic 2,normal,pneumonia
60,interact,1116,51,Topic 1,normal,interact
270,strain,1405,51,Topic 5,negative,strain
1,pathogen,745,50,Topic 5,normal,pathogen
48,receptor,677,50,Topic 1,normal,receptor
28,contacts,1474,49,Topic 2,normal,contact
38,age,982,47,Topic 5,normal,age
193,people,539,47,Topic 2,normal,peopl
234,drug,1037,43,Topic 4,normal,drug
314,species,1118,43,Topic 1,normal,speci
186,ACE2,997,42,Topic 6,normal,ace2
263,growth,730,41,Topic 2,normal,growth
454,Risk,732,41,Topic 6,normal,risk
141,mutations,1001,40,Topic 1,normal,mutat
415,replication,566,40,Topic 3,normal,replic
109,reproduction,576,39,Topic 2,normal,reproduct
139,target,483,39,Topic 3,normal,target
25,Read,1115,38,Topic 6,normal,read
253,CI,463,38,Topic 6,normal,ci
163,antibodies,738,37,Topic 1,normal,antibodi
248,interval,782,37,Topic 2,normal,interv
471,mice,1287,37,Topic 4,normal,mice
15,approach,356,36,Topic 5,normal,approach
90,coronaviruses,288,36,Topic 1,normal,coronavirus
631,changes,411,36,Topic 5,normal,chang
110,prediction,624,35,Topic 1,normal,predict
238,SARS,505,35,Topic 6,normal,sar
323,probability,507,35,Topic 2,normal,probabl
432,intervention,804,35,Topic 2,normal,intervent
169,DNA,740,34,Topic 6,normal,dna
583,acids,532,34,Topic 1,normal,acid
45,factor,444,33,Topic 4,normal,factor
65,isolate,460,33,Topic 1,negative,isol
199,functions,450,33,Topic 4,normal,function
367,incidence,651,33,Topic 2,normal,incid
57,bat,808,32,Topic 1,normal,bat
254,CT,652,32,Topic 6,normal,ct
266,medRxiv,271,32,Topic 6,normal,medrxiv
