index,label,count,number_of_blocks,topic,sentiment,stemmed_word,radius,theta,x,y,zone,font_size
78,infections,4719,301,Topic 2,negative,infect,45,0.4918032786885246,44.99834225614695,0.38625664869391746,1,13
68,symptoms,1016,77,Topic 2,negative,symptom,269,9.344262295081966,265.430525834923,43.67649201797545,7,77
540,death,866,54,Topic 2,negative,death,292,14.262295081967205,282.99999510826206,71.93749209364786,8,84
255,severity,229,22,Topic 2,negative,sever,324,24.09836065573771,295.7620586374519,132.29060688702148,9,93
1013,illness,157,16,Topic 2,negative,ill,330,29.016393442622967,288.57871608424307,160.06974924441482,9,95
597,fever,148,15,Topic 2,negative,fever,331,30.491803278688543,285.2232825428105,167.95439588026292,9,95
324,delay,298,13,Topic 2,negative,delay,333,31.96721311475412,282.50094887149714,176.30148577565578,9,96
1431,concerns,25,9,Topic 2,negative,concern,337,40.81967213114752,255.03171354775796,220.2903199981659,9,97
10,virus,3094,203,Topic 1,negative,viru,143,120.50847457627118,-72.59620944845408,123.2022336393143,4,41
65,isolate,460,33,Topic 1,negative,isol,313,131.69491525423732,-208.19636055024378,233.71622847725592,9,90
194,syndrome,74,23,Topic 1,negative,syndrom,323,137.2881355932205,-237.33205072877126,219.09472311508543,9,93
1215,errors,82,5,Topic 1,negative,error,341,177.4576271186451,-340.6643502301513,15.126152262515728,9,98
270,strain,1405,51,Topic 5,negative,strain,295,182.30769230769232,-294.76075446061304,-11.878452332277508,8,85
1025,threats,23,6,Topic 5,negative,threat,340,229.2307692307695,-222.02475489441775,-257.49758875390216,9,98
1357,limit,65,6,Topic 5,negative,limit,340,230.00000000000028,-218.54778729342206,-260.45511066045367,9,98
686,failure,92,5,Topic 5,negative,failur,341,234.61538461538493,-197.46023738140815,-278.01160884624574,9,98
509,injury,227,13,Topic 4,negative,injuri,333,262.19178082191775,-45.240612607681655,-329.91254442788573,9,96
1406,stress,151,8,Topic 4,negative,stress,338,276.1643835616434,36.29489517248442,-336.045652530156,9,97
698,damage,129,7,Topic 4,negative,damag,339,283.56164383561577,79.49258106436496,-329.54806865725277,9,97
915,anxiety,111,7,Topic 4,negative,anxieti,339,284.3835616438349,84.21166362479764,-328.3738657529614,9,97
1525,loss,206,6,Topic 4,negative,loss,340,290.136986301369,117.05038526773366,-319.2165523726411,9,98
284,restriction,132,12,Topic 3,negative,restrict,334,318.94736842105215,251.8716076654814,-219.3551760319455,9,96
397,resistance,141,7,Topic 3,negative,resist,339,338.94736842105164,316.3720340438459,-121.77740379462696,9,97
