index,label,count,number_of_blocks,topic,sentiment,stemmed_word,radius,theta,x,y,zone,font_size
70,diseases,2949,233,Topic 5,normal,diseas,113,180.0,-113.0,1.383850883036509e-14,3,32
143,level,1126,74,Topic 5,normal,level,272,180.76923076923077,-271.9754867770281,-3.6516561172441024,7,78
356,tests,761,62,Topic 5,normal,test,284,181.53846153846155,-283.89762585853146,-7.624829958057364,8,82
270,strain,1405,51,Topic 5,negative,strain,295,182.30769230769232,-294.76075446061304,-11.878452332277508,8,85
1,pathogen,745,50,Topic 5,normal,pathogen,296,183.0769230769231,-295.573277686986,-15.888282392124058,8,85
38,age,982,47,Topic 5,normal,age,299,183.84615384615387,-298.3265797961719,-20.056215672909797,8,86
15,approach,356,36,Topic 5,normal,approach,310,184.61538461538464,-308.9947655216051,-24.944636302185145,8,89
631,changes,411,36,Topic 5,normal,chang,310,185.38461538461542,-308.63203136230476,-29.09070671498573,8,89
334,size,479,31,Topic 5,normal,size,315,186.1538461538462,-313.18485623693977,-33.76752617304624,9,91
507,networks,605,27,Topic 5,normal,network,319,186.92307692307696,-316.67413083727917,-38.45120100144826,9,92
50,dynamics,306,26,Topic 5,normal,dynam,320,187.69230769230774,-317.1203773586907,-42.83300437608395,9,92
196,state,471,26,Topic 5,normal,state,320,188.4615384615385,-316.51675586983407,-47.08655066614941,9,92
340,process,424,26,Topic 5,normal,process,320,189.23076923076928,-315.8560840441321,-51.33160987448357,9,92
228,children,501,22,Topic 5,normal,children,324,190.00000000000006,-319.07771197595537,-56.26200956408575,9,93
595,outcomes,219,22,Topic 5,normal,outcom,324,190.76923076923083,-318.2936269226753,-60.5406232244827,9,93
209,difference,211,21,Topic 5,normal,differ,325,191.5384615384616,-318.4319619137369,-65.00835047721482,9,93
351,simulations,426,21,Topic 5,normal,simul,325,192.30769230769238,-317.53051362559046,-69.27750657081064,9,93
670,area,254,21,Topic 5,normal,area,325,193.07692307692315,-316.57183227655514,-73.53417578966011,9,93
317,distances,430,20,Topic 5,normal,distanc,326,193.84615384615392,-316.52703248089284,-78.01690655774428,9,94
394,influenza,290,20,Topic 5,normal,influenza,326,194.6153846153847,-315.4511133198491,-82.2593162217368,9,94
734,effects,421,20,Topic 5,normal,effect,326,195.38461538461547,-314.3183358979412,-86.48689911396414,9,94
1413,event,263,20,Topic 5,normal,event,326,196.15384615384625,-313.1289043918272,-90.69889323676408,9,94
490,values,230,19,Topic 5,normal,valu,327,196.92307692307702,-312.8397296105679,-95.1856269464397,9,94
671,years,180,19,Topic 5,normal,year,327,197.6923076923078,-311.5336491438065,-99.3769865267793,9,94
643,participants,422,18,Topic 5,normal,particip,328,198.46153846153857,-311.11995295866353,-103.8671019668836,9,94
557,care,250,17,Topic 5,normal,care,329,199.23076923076934,-310.6416765132663,-108.36396455015483,9,95
605,range,240,17,Topic 5,normal,rang,329,200.0000000000001,-309.1588722385636,-112.52462715414566,9,95
892,immunity,507,16,Topic 5,normal,immun,330,200.7692307692309,-308.5553600861866,-117.01961272403743,9,95
402,fitness,465,15,Topic 5,normal,fit,331,201.53846153846166,-307.88671130553075,-121.5186117492492,9,95
574,conditions,321,15,Topic 5,normal,condit,331,202.30769230769243,-306.2275514615695,-125.64110285194029,9,95
1347,communities,246,15,Topic 5,normal,commun,331,203.0769230769232,-304.5131958510706,-129.74094786368548,9,95
1017,prevalence,211,14,Topic 5,normal,preval,332,203.84615384615398,-303.6585877773722,-134.2216900096699,9,95
41,classes,169,13,Topic 5,normal,class,333,204.61538461538476,-302.73839183430664,-138.70279777126993,9,96
249,generation,383,13,Topic 5,normal,gener,333,205.38461538461553,-300.848994725257,-142.75462294721774,9,96
445,variables,169,13,Topic 5,normal,variabl,333,206.1538461538463,-298.9053713037913,-146.78071741799957,9,96
599,trial,328,13,Topic 5,normal,trial,333,206.92307692307708,-296.9078718969267,-150.78035550308994,9,96
984,variation,229,13,Topic 5,normal,variat,333,207.69230769230785,-294.85685654251847,-154.75281629057568,9,96
153,equations,194,12,Topic 5,normal,equat,334,208.46153846153862,-293.6318321463612,-159.1739524871176,9,96
362,correlation,191,12,Topic 5,normal,correl,334,209.2307692307694,-291.46842626445476,-163.10167531611108,9,96
1435,publications,198,12,Topic 5,normal,public,334,210.00000000000017,-289.25248486400204,-167.00000000000082,9,96
487,behavior,220,11,Topic 5,normal,behavior,335,210.76923076923094,-287.8436421083421,-171.37980539668214,9,96
1516,agent,281,11,Topic 5,normal,agent,335,211.53846153846172,-285.5168917769857,-175.22872056260934,9,96
71,impact,137,10,Topic 5,normal,impact,336,212.3076923076925,-283.9838687427145,-179.58051757894205,9,97
1328,density,285,10,Topic 5,normal,densiti,336,213.07692307692326,-281.5473700094427,-183.37687542535443,9,97
794,performance,125,9,Topic 5,normal,perform,337,213.84615384615404,-279.8906600545793,-187.69714546101096,9,97
1203,load,116,9,Topic 5,normal,load,337,214.6153846153848,-277.3455628061616,-191.43781964840045,9,97
1231,review,138,9,Topic 5,normal,review,337,215.38461538461559,-274.75047560464577,-195.14398826256715,9,97
1295,school,420,9,Topic 5,normal,school,337,216.15384615384636,-272.1058661996732,-198.81498328779338,9,97
1296,closures,337,9,Topic 5,normal,closur,337,216.92307692307713,-269.41221126697917,-202.45014304819986,9,97
1608,healthcare,157,9,Topic 5,normal,healthcar,337,217.6923076923079,-266.6699963224753,-206.04881232700907,9,97
33,susceptibility,90,8,Topic 5,normal,suscept,338,218.46153846153868,-264.6627414971555,-210.23233163148296,9,97
208,questionnaire,42,8,Topic 5,normal,questionnair,338,219.23076923076945,-261.81647709774643,-213.76653695123852,9,97
560,adults,58,8,Topic 5,normal,adult,338,220.00000000000023,-258.9230217742137,-217.26221207405132,9,97
654,forces,180,8,Topic 5,normal,forc,338,220.769230769231,-255.9828970553479,-220.71872692445282,9,97
1078,fraction,142,8,Topic 5,normal,fraction,338,221.53846153846177,-252.99663288183126,-224.13545848538982,9,97
1855,cohorts,120,8,Topic 5,normal,cohort,338,222.30769230769255,-249.96476751071927,-227.51179091051975,9,97
530,solutions,73,7,Topic 5,normal,solut,339,223.07692307692332,-247.61828483682035,-231.53009526727038,9,97
637,term,61,7,Topic 5,normal,term,339,223.8461538461541,-244.48762964955208,-234.8335558397553,9,97
757,transition,174,7,Topic 5,normal,transit,339,224.61538461538487,-241.3129069639054,-238.09468900550795,9,97
856,windows,196,7,Topic 5,normal,window,339,225.38461538461564,-238.09468900550576,-241.31290696390752,9,97
1763,access,55,7,Topic 5,normal,access,339,226.15384615384642,-234.83355583975305,-244.48762964955424,9,97
42,matrix,61,6,Topic 5,normal,matrix,340,226.9230769230772,-232.213074899325,-248.34872225522017,9,98
642,survey,72,6,Topic 5,normal,survey,340,227.69230769230796,-228.85801452537265,-251.44384897528178,9,98
1018,males,51,6,Topic 5,normal,male,340,228.46153846153874,-225.4617038018691,-254.49365437817545,9,98
1025,threats,23,6,Topic 5,negative,threat,340,229.2307692307695,-222.02475489441775,-257.49758875390216,9,98
1357,limit,65,6,Topic 5,negative,limit,340,230.00000000000028,-218.54778729342206,-260.45511066045367,9,98
1433,reservoir,115,6,Topic 5,normal,reservoir,340,230.76923076923106,-215.03142770242704,-263.3656870214036,9,98
1576,work,36,6,Topic 5,positive,work,340,231.53846153846183,-211.476309925158,-266.22879322199265,9,98
35,scaling,71,5,Topic 5,normal,scale,341,232.3076923076926,-208.49449555937483,-269.8352188307557,9,98
327,relationship,76,5,Topic 5,normal,relationship,341,233.07692307692338,-204.85311210514934,-272.609982320595,9,98
573,equilibrium,150,5,Topic 5,normal,equilibrium,341,233.84615384615415,-201.17480504788352,-275.3356094186621,9,98
686,failure,92,5,Topic 5,negative,failur,341,234.61538461538493,-197.46023738140815,-278.01160884624574,9,98
1103,metapopulation,62,5,Topic 5,normal,metapopul,341,235.3846153846157,-193.71007863532265,-280.6374982697378,9,98
1205,sex,90,5,Topic 5,normal,sex,341,236.15384615384647,-189.9250047543142,-283.21280438757304,9,98
1213,predictor,63,5,Topic 5,normal,predictor,341,236.92307692307725,-186.1056979763245,-285.7370630155372,9,98
1561,extinction,31,5,Topic 5,normal,extinct,341,237.69230769230802,-182.25284670957845,-288.2098191704351,9,98
1703,service,32,5,Topic 5,normal,servic,341,238.4615384615388,-178.36714540850434,-290.6306271520974,9,98
2037,throat,43,5,Topic 5,normal,throat,341,239.23076923076957,-174.4492944485604,-292.999050623717,9,98
