index,label,count,number_of_blocks,topic,sentiment,stemmed_word
5,cases,8226,336,Topic 3,normal,case
6,COVID19,4726,305,Others,normal,covid19
11,infection,4719,301,Topic 2,negative,infect
28,data,5343,293,Topic 3,normal,data
22,license,5304,276,Topic 3,normal,licens
7,patients,7959,260,Topic 4,normal,patient
44,number,5194,257,Topic 3,normal,number
76,model,6421,250,Topic 1,normal,model
21,authorfunder,3293,241,Others,normal,authorfund
12,study,3819,239,Topic 4,normal,studi
199,disease,2949,233,Topic 1,normal,diseas
119,cells,8830,228,Topic 2,normal,cell
24,holder,3065,225,Topic 2,normal,holder
90,Fig,5788,211,Others,normal,fig
74,time,3548,208,Topic 1,normal,time
157,virus,3094,203,Topic 2,negative,viru
57,China,2326,195,Others,normal,china
42,proteins,5237,180,Topic 2,normal,protein
26,coronavirus,1349,171,Topic 5,normal,coronaviru
152,sequences,4324,166,Topic 5,normal,sequenc
14,rate,2816,163,Topic 3,normal,rate
60,transmission,3123,161,Topic 1,normal,transmiss
146,SARSCoV2,2861,161,Others,normal,sarscov2
58,outbreak,2184,159,Topic 3,negative,outbreak
56,Wuhan,2439,156,Others,normal,wuhan
81,Figure,3410,152,Others,normal,figur
23,perpetuity,1813,142,Topic 4,normal,perpetu
100,population,1907,127,Topic 1,normal,popul
164,RNA,3140,123,Others,normal,rna
198,days,1595,116,Topic 3,normal,day
87,gene,4113,114,Topic 2,normal,gene
69,International,1280,110,Others,normal,intern
80,health,850,104,Topic 3,normal,health
19,reuse,1228,98,Topic 2,normal,reus
18,rights,1213,97,Topic 2,normal,right
139,samples,1887,96,Topic 4,normal,sampl
17,group,1810,93,Topic 4,normal,group
33,analysis,1033,91,Topic 2,normal,analysi
116,bioRxiv,1082,90,Others,normal,biorxiv
427,respiratory,708,89,Topic 4,normal,respiratori
344,Viruses,1499,88,Others,normal,virus
71,individuals,1722,86,Topic 1,normal,individu
65,estimates,1392,84,Topic 1,normal,estim
185,host,1782,84,Topic 2,normal,host
375,period,1438,83,Topic 3,normal,period
99,al,1833,82,Topic 2,normal,al
281,Genomic,1737,82,Others,normal,genom
8,methods,1174,79,Topic 1,normal,method
20,permission,980,79,Topic 2,normal,permiss
34,symptom,1016,77,Topic 3,negative,symptom
70,January,1026,77,Others,normal,januari
72,province,1094,76,Topic 3,normal,provinc
75,control,829,74,Topic 2,normal,control
123,parameters,1016,74,Topic 1,normal,paramet
502,levels,1126,74,Topic 2,normal,level
48,regions,1246,69,Topic 3,normal,region
171,expression,1954,68,Topic 2,normal,express
196,measures,818,68,Topic 3,normal,measur
200,hospitals,781,67,Topic 4,normal,hospit
462,countries,1220,66,Topic 3,normal,countri
108,SARSCoV,1017,65,Others,normal,sarscov
204,activity,1279,64,Topic 2,normal,activ
211,treatment,905,64,Topic 4,normal,treatment
54,structure,1374,63,Topic 5,normal,structur
13,test,761,62,Topic 4,normal,test
133,February,543,62,Others,normal,februari
222,city,1200,61,Topic 3,normal,citi
79,distribution,1104,59,Topic 1,normal,distribut
16,detection,841,57,Topic 4,normal,detect
130,epidemic,590,57,Topic 3,negative,epidem
235,systems,894,57,Topic 1,normal,system
408,response,1010,57,Topic 2,normal,respons
218,sites,1184,56,Topic 2,normal,site
37,Hubei,700,55,Others,normal,hubei
143,death,866,54,Topic 3,negative,death
177,spread,494,54,Topic 3,normal,spread
657,pneumonia,562,52,Topic 4,normal,pneumonia
150,interaction,1116,51,Topic 2,normal,interact
287,strain,1405,51,Topic 2,negative,strain
148,receptors,677,50,Topic 2,normal,receptor
251,pathogen,745,50,Topic 1,normal,pathogen
1,contact,1474,49,Topic 3,normal,contact
154,age,982,47,Topic 1,normal,age
421,people,539,47,Topic 3,normal,peopl
88,species,1118,43,Topic 2,normal,speci
378,drug,1037,43,Topic 5,normal,drug
106,ACE2,997,42,Others,normal,ace2
127,risk,732,41,Topic 4,negative,risk
135,growth,730,41,Topic 3,normal,growth
55,mutations,1001,40,Topic 2,normal,mutat
208,replication,566,40,Topic 2,normal,replic
345,targets,483,39,Topic 2,normal,target
412,reproduction,576,39,Topic 3,normal,reproduct
417,CI,463,38,Others,normal,ci
566,reads,1115,38,Topic 1,normal,read
101,antibodies,738,37,Topic 5,normal,antibodi
197,interval,782,37,Topic 3,normal,interv
242,mice,1287,37,Topic 2,normal,mice
289,coronaviruses,288,36,Topic 5,normal,coronavirus
409,changes,411,36,Topic 1,normal,chang
506,approach,356,36,Topic 1,normal,approach
64,probability,507,35,Topic 1,normal,probabl
78,intervention,804,35,Topic 1,normal,intervent
216,predicts,624,35,Others,normal,predict
231,SARS,505,35,Others,normal,sar
15,acid,532,34,Topic 5,normal,acid
826,DNA,740,34,Others,normal,dna
53,functions,450,33,Topic 2,normal,function
131,incidence,651,33,Topic 1,normal,incid
163,factors,444,33,Topic 2,normal,factor
316,isolation,460,33,Topic 3,negative,isol
275,bats,808,32,Others,normal,bat
394,MedRxiv,271,32,Others,normal,medrxiv
453,CT,652,32,Others,normal,ct
49,domains,683,31,Topic 5,normal,domain
285,dataset,622,31,Topic 1,normal,dataset
385,incubation,610,31,Topic 3,normal,incub
491,vaccination,886,31,Others,normal,vaccin
510,size,479,31,Topic 1,normal,size
524,CoV,558,31,Others,normal,cov
567,set,510,31,Topic 1,normal,set
63,reporting,405,30,Topic 3,normal,report
169,Transcript,782,30,Others,normal,transcript
201,diagnosis,316,29,Topic 4,normal,diagnosi
214,March,269,29,Others,normal,march
430,type,461,29,Topic 2,normal,type
120,Traveller,817,28,Others,normal,travel
274,MERSCoV,571,28,Others,normal,merscov
124,scenarios,421,27,Topic 3,normal,scenario
172,network,605,27,Topic 1,normal,network
52,processes,424,26,Topic 1,normal,process
92,dynamics,306,26,Topic 1,normal,dynam
262,weeks,623,26,Topic 1,normal,week
642,State,471,26,Others,normal,state
41,residues,460,25,Topic 5,normal,residu
118,spike,458,25,Topic 5,normal,spike
151,Binding,419,25,Others,normal,bind
195,onset,408,25,Topic 3,normal,onset
578,protease,499,25,Topic 5,normal,proteas
675,primers,515,25,Topic 2,normal,primer
105,RBDs,520,24,Others,normal,rbd
142,mortality,336,24,Topic 4,normal,mortal
173,cluster,578,24,Topic 3,normal,cluster
192,score,352,24,Topic 4,normal,score
241,lung,498,24,Topic 4,normal,lung
489,admission,271,24,Topic 4,normal,admiss
724,sensitivity,262,24,Topic 4,normal,sensit
102,development,180,23,Topic 1,normal,develop
377,strategies,231,23,Topic 1,normal,strategi
487,swabs,203,23,Others,normal,swab
501,temperature,413,23,Topic 2,normal,temperatur
536,Syndrome,74,23,Others,normal,syndrom
580,inhibitors,367,23,Topic 5,normal,inhibitor
136,severity,229,22,Topic 4,negative,sever
144,outcomes,219,22,Topic 4,normal,outcom
145,features,441,22,Topic 4,normal,featur
180,complexes,453,22,Topic 2,normal,complex
327,children,501,22,Topic 4,normal,children
433,Italy,245,22,Others,normal,itali
523,All,237,22,Others,normal,all
650,peptides,780,22,Topic 2,normal,peptid
114,S1,355,21,Others,normal,s1
129,exposure,393,21,Topic 3,normal,exposur
175,simulations,426,21,Topic 1,normal,simul
266,differences,211,21,Topic 2,normal,differ
420,areas,254,21,Topic 4,normal,area
422,peak,294,21,Topic 3,normal,peak
564,Tables,256,21,Others,normal,tabl
637,emergency,97,21,Others,negative,emerg
664,concentration,381,21,Topic 2,normal,concentr
677,Reaction,360,21,Others,normal,reaction
50,organisms,281,20,Others,normal,organ
95,Feb,238,20,Others,normal,feb
138,blood,238,20,Topic 4,normal,blood
178,events,263,20,Topic 1,normal,event
314,quarantine,414,20,Topic 3,normal,quarantin
356,tissues,304,20,Others,normal,tissu
455,distancing,430,20,Topic 3,normal,distanc
684,influenza,290,20,Topic 1,normal,influenza
875,effects,421,20,Topic 1,normal,effect
160,years,180,19,Topic 4,normal,year
